Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
자리돔횟집,생선회,제주 서귀포시 동홍동로 7 자리돔횟집,0507-1416-1694,4.61,예약 단체 이용 가능 포장 남/녀 화장실 구분 유아의자,"주차가능 무료 가게 뒤편에 약 6대 주차 가능, 인근 무료 주차장도 이용 가능","https://ldb-phinf.pstatic.net/20241108_274/1731027566443kptzT_JPEG/KakaoTalk_20241107_192950249.jpg, https://ldb-phinf.pstatic.net/20250613_293/1749798793525hXotF_JPEG/KakaoTalk_20250613_161227686.jpg",11:00,21:30,휴무,휴무,11:00,21:30,11:00,21:30,11:00,21:30,11:00,21:30,11:00,21:30,,
제주곶,라면,제주 서귀포시 칠십리로214번길 36 제주곶,0507-1347-0736,평점 없음,단체 이용 가능 포장 예약 무선 인터넷 \ 반려동물 동반 유아의자 남/녀 화장실 구분 화장실 휠체어 이용가능 장애인 주차구역,주차가능 무료 정방폭포 공영 주차장 무료 이용가능 합니다:),"https://ldb-phinf.pstatic.net/20221019_87/1666134040287D16gW_JPEG/695A83F9-6C7E-4677-A157-DF3C864B8365.jpeg, https://ldb-phinf.pstatic.net/20250118_233/17371821172776TxeN_JPEG/IMG_6166.jpeg",10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,https://www.instagram.com/jejugot_official,
봉자막창 제주 동홍점,"곱창,막창,양",제주 서귀포시 태평로 531 나동,0507-1396-4272,평점 없음,단체 이용 가능 포장 배달 예약 유아의자,주차가능 무료 건물뒷편 주차장 마련되어 있어요,"https://ldb-phinf.pstatic.net/20260326_92/1774503509197qswX6_JPEG/%A4%A1%B8%DE%C0%CE1.jpg, https://ldb-phinf.pstatic.net/20260326_283/1774503509749XMVqD_JPEG/%A4%A1%B8%DE%C0%CE2.jpg",17:00,24:00,17:00,24:00,휴무,휴무,17:00,24:00,17:00,24:00,17:00,24:00,17:00,24:00,,
포이포이 베이크,베이커리,제주 서귀포시 동홍북로 54 1층,0507-1435-4212,평점 없음,포장 예약 무선 인터넷 남/녀 화장실 구분,,"https://ldb-phinf.pstatic.net/20260325_271/1774404622148c19Um_JPEG/1844.jpg, https://ldb-phinf.pstatic.net/20260325_225/1774404622569OiBuo_JPEG/1856.jpg",휴무,휴무,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,20:00,https://www.instagram.com/poipoi_bake,
일품순두부 서귀포점,한식,제주 서귀포시 일주동로8666번길 5,064-767-2141,평점 없음,포장 예약 무선 인터넷,주차가능,"https://ldb-phinf.pstatic.net/20220527_257/1653620572764K6gAg_JPEG/0C542ECE-8728-42CD-8346-4597F7D60A76.jpeg, https://ldb-phinf.pstatic.net/20220527_229/1653620572706meht2_JPEG/E04C3BBE-CC55-4BCB-98AC-87FB77C11957.jpeg",08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,
로우템포,"카페,디저트",제주 서귀포시 일주동로8652번길 4 1층,064-733-0303,평점 없음,핸드드립 테이크아웃 할인 글루텐프리 메뉴 포장 배달 무선 인터넷,주차가능 무료 주차공간 협소 건물내 주차 2대가능 합니다. 건물내 주차 공간 없을시 건물 주변 골목주차 서귀포시의료원 후문 맞은편 무료주차장 이용,"https://ldb-phinf.pstatic.net/20240310_166/1710078946339Si8Ms_JPEG/1000010711.jpg, https://ldb-phinf.pstatic.net/20240328_242/1711590651464SbIe4_JPEG/1000011204.jpg",08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,09:00,18:00,휴무,휴무,https://www.instagram.com/rawtempo_dh,
KFC 제주서귀포DI점,햄버거,제주 서귀포시 일주동로 8668,064-767-0324,평점 없음,,,https://ldb-phinf.pstatic.net/20240719_39/172138002661259Rma_PNG/KFC_Brand_image.png,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,,
제철과사람,"카페,디저트",제주 서귀포시 태평로 548-1 2층,전화번호 없음,평점 없음,핸드드립 생일 혜택 무선 인터넷 남/녀 화장실 구분,주차가능 무료 1) 공영주차장 - 건물 옆 <중동지구대> 입구로 들어가시면 안 쪽에 공영주차장이 있어요 2) 건물 옆 공터 작은 공터가 있어 그 곳에도 주 차가 가능합니다. 내용 더보기,"https://ldb-phinf.pstatic.net/20250509_184/174675243268422Iap_JPEG/20250319_194717.jpg, https://ldb-phinf.pstatic.net/20250509_232/1746752432603Bq28k_JPEG/20250506_182034.jpg",11:00,18:00,11:00,18:00,휴무,휴무,휴무,휴무,11:00,18:00,11:00,18:00,11:00,18:00,https://www.instagram.com/season.and.people,https://blog.naver.com/oct_records
신용참숯갈비,한식,제주 서귀포시 태평로 528 신용참숯갈비,064-763-1771,평점 없음,,,https://ldb-phinf.pstatic.net/20240404_23/1712208049429llltY_JPEG/1000001485.jpg,11:30,22:30,11:30,22:30,11:30,22:30,11:30,22:30,11:30,22:30,11:30,22:30,11:30,22:30,,
스텔라떡볶이 제주서귀포동홍점,분식,제주 서귀포시 동홍북로 28 1층,0507-1447-1546,평점 없음,테이크아웃 할인 생일 혜택 포장 배달,주차 불가,"https://ldb-phinf.pstatic.net/20250916_162/1757997969520By6Qb_PNG/%B3%D7%C0%CC%B9%F6%C7%C3%B7%B9%C0%CC%BD%BA_%BC%BC%C6%AE%B8%DE%B4%BA_%B6%B1%B4%DF%BC%F8_%BC%BC%C6%AE.png, https://ldb-phinf.pstatic.net/20250916_244/1757997969739tYcpH_PNG/%B3%D7%C0%CC%B9%F6%C7%C3%B7%B9%C0%CC%BD%BA_%BC%BC%C6%AE%B8%DE%B4%BA_%B6%B1%BA%BA%C0%CC_%BC%BC%C6%AEB.png",11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,https://www.instagram.com/stella_tteokbokki/,
