Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
제주전복치킨 제주신화월드본점,"치킨,닭강정",제주 서귀포시 안덕면 녹차분재로 39 제주전복치킨,064-792-0382,4.41,배달 포장 예약 단체 이용 가능 무선 인터넷 \ 반려동물 동반,주차가능,"https://ldb-phinf.pstatic.net/20220607_122/1654601641275Q0FKs_JPEG/20220512_163158.jpg, https://ldb-phinf.pstatic.net/20220607_274/1654601716767rrxln_JPEG/IMG_0325.jpg",17:00,22:50,휴무,휴무,17:00,22:50,17:00,22:50,17:00,22:50,17:00,22:50,17:00,22:50,http://www.instagram.com/gong2902,
제주광추,생선회,제주 서귀포시 대정읍 노을해안로 708,0507-1382-5908,평점 없음,콜키지 가능 유료 단체 이용 가능 포장 예약 무선 인터넷 배달 방문접수/출장 남/녀 화장실 구분 대기공간,주차가능 무료 상가 바로 앞 주차 가능 주차장소 넉넉함,"https://ldb-phinf.pstatic.net/20250506_213/1746529107235LGt0H_JPEG/IMG_2011.jpeg, https://ldb-phinf.pstatic.net/20250501_220/1746033133733nW8p2_JPEG/IMG_1940.jpeg",휴무,휴무,휴무,휴무,16:00,21:00,16:00,21:00,16:00,21:00,16:00,21:00,16:00,21:00,https://www.instagram.com/jeju_gwang_chu,
고바치,브런치카페,제주 서귀포시 대정읍 무영로254번길 21-1 1-2층,전화번호 없음,평점 없음,포장 \ 반려동물 동반 유아의자 단체 이용 가능 무선 인터넷 예약,주차가능 무료,"https://ldb-phinf.pstatic.net/20250909_185/17574140376276RLtv_JPEG/IMG_6827.jpeg, https://ldb-phinf.pstatic.net/20250903_185/1756911083882KCWAN_JPEG/IMG_5896.jpeg",10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,https://www.instagram.com/cafe_gobachi,
알돈가,"육류,고기요리",제주 제주시 한경면 연명로 543,0507-1470-3352,평점 없음,단체 이용 가능 남/녀 화장실 구분 무선 인터넷 유아의자,주차가능 무료,"https://ldb-phinf.pstatic.net/20230921_209/1695277009489o2FC4_JPEG/DSC06821.jpg, https://ldb-phinf.pstatic.net/20230921_222/1695277009549FOIEn_JPEG/DSC06825.jpg",11:00,21:00,11:00,21:00,11:00,21:00,휴무,휴무,11:00,21:00,11:00,21:00,11:00,21:00,https://www.instagram.com/aldonga__/,
빽다방 제주한경면수월봉점,테이크아웃커피,제주 제주시 한경면 고산서3길 1 가동 103호,064-772-1253,평점 없음,남/녀 화장실 구분 포장 무선 인터넷 예약,주차가능 무료,"https://ldb-phinf.pstatic.net/20250815_176/1755249912836NFwgw_JPEG/1000024767.jpg, https://ldb-phinf.pstatic.net/20250815_277/1755249912421GR4zV_JPEG/1000024564.jpg",08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,https://www.instagram.com/suwol_paiks,
카페파람,카페,제주 제주시 한경면 한경해안로 470,전화번호 없음,평점 없음,예약 단체 이용 가능 포장 무선 인터넷 \ 반려동물 동반 남/녀 화장실 구분,주차가능,"https://ldb-phinf.pstatic.net/20191126_95/1574750792552FBsv7_JPEG/KakaoTalk_20191126_130658406_02.jpg, https://ldb-phinf.pstatic.net/20191126_95/1574750792538aLuUe_JPEG/KakaoTalk_20191126_130658406_08.jpg",10:00,16:00,휴무,휴무,10:00,16:00,10:00,16:00,10:00,16:00,10:00,19:00,10:00,19:00,,
혼디인2714 감귤체험카페,"카페,디저트",제주 제주시 한경면 고조로 402,0507-1347-4336,평점 없음,포장 \ 반려동물 동반 무선 인터넷 배달 예약 단체 이용 가능 좌석 휠체어 이용가능,주차가능 무료 매장 주소인 조수리 2714 또는 고조로 402 를 네비게이션으로 검색하고 오신 후 초록대문을 지나면 주차장 입구로 들어오시면 주차가 가능합니다.,"https://ldb-phinf.pstatic.net/20240531_4/1717141272132A9zkD_JPEG/KakaoTalk_20240421_124235716_01.jpg, https://ldb-phinf.pstatic.net/20260409_59/1775716831807f7C9v_JPEG/KakaoTalk_20260409_153930837.jpg",11:00,19:00,휴무,휴무,11:00,19:00,11:00,19:00,11:00,19:00,10:00,19:00,10:00,19:00,https://www.instagram.com/cafe.hondi_in_2714,
청수청년곱창,"곱창,막창,양",제주 제주시 한경면 연명로 344 청수 청년곱창,전화번호 없음,평점 없음,예약 남/녀 화장실 구분 무선 인터넷 포장,주차가능,"https://ldb-phinf.pstatic.net/20210106_272/1609928522983wbbz2_JPEG/vnhfETU_zbi6yFa727L9KNJi.jpeg.jpg, https://ldb-phinf.pstatic.net/20180525_260/1527223523506a0sPN_JPEG/LtB74lvInuXtxj4mAvAgyNxr.jpg",휴무,휴무,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,https://www.instagram.com/dlwlsdn3,
크래커스 한경점,"카페,디저트",제주 제주시 한경면 낙수로 1,064-773-0080,평점 없음,로스터리 핸드드립 포장 무선 인터넷,주차가능 무료,"https://ldb-phinf.pstatic.net/20220711_108/1657514434245lmQPQ_JPEG/KakaoTalk_20220711_133612644.jpg, https://ldb-phinf.pstatic.net/20220711_229/1657514997634PAOqI_JPEG/KakaoTalk_20220711_134929984.jpg",08:30,17:30,08:30,17:30,08:30,17:30,08:30,17:30,08:30,17:30,08:30,17:30,08:30,17:30,http://instagram.com/crackerscoffeeroasters,
클랭블루 제주,"카페,디저트",제주 제주시 한경면 한경해안로 552-22,0507-1335-5338,평점 없음,로스터리 핸드드립 유기농 메뉴 무선 인터넷 단체 이용 가능 남/녀 화장실 구분 포장 화장실 휠체어 이용가능 좌석 휠체어 이용가능,"주차가능 무료 건물옆편 2층에 주차장이 준비되어 있습니다. 차량 30대 가능하며, 들어오는길은 농사길로 조금 불편할 수 있습니다.","https://ldb-phinf.pstatic.net/20241030_88/17302485718946vsVc_JPEG/KakaoTalk_20241030_093547152.jpg, https://ldb-phinf.pstatic.net/20250510_114/1746886235091158A7_JPEG/56AA44BD-A1B3-4101-B6B0-B4DBCA7E564D.jpeg",11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,https://www.instagram.com/kleinblue_jeju/,
