Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
김녕오라이,생선회,제주 제주시 구좌읍 김녕로21길 21 김녕오라이,064-747-8174,평점 없음,콜키지 가능 무료 무선 인터넷 포장 예약 유아의자 남/녀 화장실 구분,주차가능 무료,"https://ldb-phinf.pstatic.net/20210410_211/1617991899407E09eO_JPEG/66hHXsy9yyHnNRHPcqBUSKcy.jpeg.jpg, https://ldb-phinf.pstatic.net/20210401_137/1617239052492vLFHq_JPEG/x_WUx7OMWHrTIAyQgrJ7VmVE.jpeg.jpg",16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,http://www.instagram.com/ory_fishmarket,
보말칼국수 해월정,"해물,생선요리",제주 제주시 구좌읍 해맞이해안로 2340 제주 해월정,0507-1366-5664,평점 없음,포장 남/녀 화장실 구분 단체 이용 가능 유아의자,주차가능 무료 매장 전용 주차장 보유 / 10대 정도 주차 가능합니다.,"https://ldb-phinf.pstatic.net/20260303_22/1772505870577imM0r_PNG/%C1%A6%B8%F1%C0%BB-%C0%D4%B7%C2%C7%D8%C1%D6%BC%BC%BF%E4_-001.png, https://ldb-phinf.pstatic.net/20230405_94/1680651983067YbCaa_JPEG/%C7%D8%BF%F9%C1%A4_%BC%BA%BB%EA%C1%A1_1.jpg",08:00,20:00,08:00,20:30,08:00,20:00,08:00,20:00,08:00,20:30,08:00,20:00,08:00,20:00,https://www.instagram.com/haewoljeong_jeju/,https://blog.naver.com/winmam5664
성산봄죽칼국수 동화마을,국수,제주 제주시 구좌읍 번영로 1980 1층,0507-1377-3340,4.63,단체 이용 가능 예약 포장 무선 인터넷 남/녀 화장실 구분 유아의자 대기공간,주차가능 무료,"https://ldb-phinf.pstatic.net/20260120_99/1768897173552BLk22_JPEG/%BC%BA%BB%EA%BA%BD2.00_00_03_45.%BD%BA%C6%BF_005.jpg, https://ldb-phinf.pstatic.net/20260120_276/1768897173474fb2Df_JPEG/%BC%BA%BB%EA%BA%BD2.00_00_06_41.%BD%BA%C6%BF_008.jpg",07:00,19:30,07:00,19:30,07:00,19:30,07:00,19:30,07:00,19:30,07:00,19:30,07:00,19:30,https://www.instagram.com/jeju_ss_bom/,https://blog.naver.com/875jang
평대성게국수,국수,제주 제주시 구좌읍 해맞이해안로 1172,0507-1404-2466,4.4,포장 무선 인터넷,주차가능,"https://ldb-phinf.pstatic.net/20190122_111/1548154879180dq4rq_JPEG/HPVfIxR8EYVl0EDvOk1LzavX.jpg, https://ldb-phinf.pstatic.net/20191130_216/15751232388303iape_JPEG/dNGlOrg2wap-iTR8c4tduyPF.jpg",휴무,휴무,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,,
종달수다뜰,한정식,제주 제주시 구좌읍 용눈이오름로 8 종달수다뜰,0507-1385-1259,4.37,콜키지 가능 무료 무한 리필 단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분 유아의자 대기공간 \ 반려동물 동반 좌석 휠체어 이용가능,주차가능 무료 가게 앞뒤로 대형 주차장 마련되어 있어요.,"https://ldb-phinf.pstatic.net/20250212_281/1739335703820PjuKX_JPEG/IMGL3066.jpg, https://ldb-phinf.pstatic.net/20260307_249/1772860211929Pbleu_JPEG/%B2%D9%B9%CC%B1%E2%BF%C1%B5%BC%B1%B8%C0%CC%2B%B5%BC%BA%A3.jpg",09:30,21:00,09:30,21:00,09:30,21:00,09:30,21:00,09:30,21:00,09:30,21:00,09:30,21:00,http://www.instagram.com/jongdalsudaddle_official,https://blog.naver.com/imhj8177/224046626459
카멜커피 제주점,카페,제주 제주시 구좌읍 해맞이해안로 617-3 C동,0507-1315-4302,평점 없음,단체 이용 가능 포장 무선 인터넷 남/녀 화장실 구분 대기공간,주차가능 무료 기본 30분 무료 매장 이용 고객 2시간 무료주차 입니다. (결제 시 주 차권 요청 부탁드립니다.) 내용 더보기,"https://ldb-phinf.pstatic.net/20240822_221/1724308894435oOfsK_JPEG/KakaoTalk_20240822_145334865.jpg, https://ldb-phinf.pstatic.net/20251029_30/1761728614903JjUDi_JPEG/IMG_4491.jpeg",10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,,
도민상회 구좌월정리해수욕장점,"육류,고기요리",제주 제주시 구좌읍 행원로1길 32-3 도민상회 월정리 흑돼지 전문점,0507-1429-3407,4.51,단체 이용 가능 예약 무선 인터넷 유아의자 남/녀 화장실 구분 대기공간 좌석 휠체어 이용가능,주차가능 무료 전용 주차장이 마련되어 있습니다.,"https://ldb-phinf.pstatic.net/20260113_264/1768273303508PyasW_JPEG/1.jpg, https://ldb-phinf.pstatic.net/20260113_203/1768273303525M15vI_JPEG/2.jpg",11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,https://www.instagram.com/domin_weoljeong,
김녕식당,한식,제주 제주시 구좌읍 김녕로11길 5-3 1층,0507-1336-1166,평점 없음,콜키지 가능 유료 생일 혜택 비건 메뉴 포장 예약 무선 인터넷 남/녀 화장실 구분 단체 이용 가능 \ 반려동물 동반 유아의자 출입구 휠체어 이용가능 좌석 휠체어 이용가능,"주차가능 무료 주차는 김녕식당 건물 맞은편 주차장(5자리), 건물 옆 주차장 (3자리) 이용하시면 됩니다. - 주차자리 없을 시 건물 옆 평행주차 가능","https://ldb-phinf.pstatic.net/20260401_229/1775026488705Lr4Ow_JPEG/IMG_0103.jpeg, https://ldb-phinf.pstatic.net/20260401_299/1775026484848Rw8H3_JPEG/IMG_0104.jpeg",12:00,22:00,12:00,22:00,휴무,휴무,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,https://www.instagram.com/gimnyeong_cuisine,
런던베이글뮤지엄 제주,베이커리,제주 제주시 구좌읍 동복로 85 제2동 1층,전화번호 없음,평점 없음,포장,"주차가능 유료 추가 요금 60분당 2,000원, 최대 47,000원 [근처 유료 주차장 안내] * 주차장 주소 : 제주시 구좌읍 동복리 135 2 * 주차 요금 안내 - 무료 회차: 최초 30분 무료 - 기본 요금: 1시 간 2,000원 - 추가 요금: 1시간 경과 후부터 30분당 1,000원 내용 더보기","https://ldb-phinf.pstatic.net/20240618_254/1718698595424LmWhG_JPEG/KakaoTalk_Photo_2024-06-18-17-15-13_003.jpeg, https://ldb-phinf.pstatic.net/20240618_120/171869859004838ro6_JPEG/KakaoTalk_Photo_2024-06-18-17-15-13_004.jpeg",08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,https://www.instagram.com/london.bagel.museum/,
가는곶 세화,베이커리,제주 제주시 구좌읍 세화14길 3 가는곶 세화,064-782-9006,평점 없음,포장 무선 인터넷 예약,,"https://ldb-phinf.pstatic.net/20211205_260/1638676231300jYUhl_JPEG/AE397BE3-6064-489D-A686-EE83069BB2B2.jpeg, https://ldb-phinf.pstatic.net/20211205_229/1638676233205bHdI4_JPEG/7ECD408F-DB7D-4CFB-B775-972A5B8D4E41.jpeg",09:00,21:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,21:00,09:00,21:00,https://instagram.com/whisky_sehwa,
