Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
에곤카페,"카페,디저트",제주 서귀포시 성산읍 신고로 52-18 1층 에곤카페,0507-1305-5213,4.73,무선 인터넷 남/녀 화장실 구분 포장 유아의자 단체 이용 가능,주차가능 무료 주차장은 카페 앞 뒤로 매우 넓습니다 초보운전도 쉽게 주차가능,"https://ldb-phinf.pstatic.net/20230825_64/1692893529937UwXjQ_JPEG/01C734D2-9C0D-41CE-A14E-0A8D2C1E61E8.jpeg, https://ldb-phinf.pstatic.net/20230825_53/1692940513393X4Vgo_JPEG/8BA34931-3045-4CD3-A9D4-213F5360AC9F.jpeg",11:00,20:00,11:00,20:00,휴무,휴무,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,http://www.instagram.com/egon_jeju,
성산포흑돈애 성산본점,돼지고기구이,제주 서귀포시 성산읍 고성동서로 67 1층,064-784-4848,4.63,무선 인터넷 유아의자,주차가능 무료 ＊성산일출봉에서 10분거리 픽업가능＊,"https://ldb-phinf.pstatic.net/20260109_30/1767962031281RWBxz_JPEG/IMG_6318.jpeg, https://ldb-phinf.pstatic.net/20260109_211/1767961385113tXrQe_JPEG/IMG_6323.jpeg",12:00,다음 날 01:00,12:00,다음 날 01:00,12:00,다음 날 01:00,12:00,다음 날 01:00,12:00,다음 날 01:00,12:00,다음 날 01:00,12:00,다음 날 01:00,https://www.instagram.com/ghwns2836,
산지해장국 성산점,해장국,제주 서귀포시 성산읍 성산중앙로 30-4 1층,064-782-4978,평점 없음,단체 이용 가능 포장 남/녀 화장실 구분,주차가능,"https://ldb-phinf.pstatic.net/20200514_262/1589425494235HGp9p_JPEG/ji_fb2Ah3H2N_mvx1rzI7RNT.jpg, https://ldb-phinf.pstatic.net/20200514_58/1589425495415t5w1t_JPEG/KO4DGf830LEs-mI0RTCec1MK.jpg",07:00,15:00,07:00,15:00,휴무,휴무,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,,
팔미돈가흑돼지 성산점,돼지고기구이,제주 서귀포시 성산읍 서성일로 511 팔미돈가흑돼지 성산점,0507-1433-4247,5,단체 이용 가능 무선 인터넷 예약 유아의자 \ 반려동물 동반 좌석 휠체어 이용가능,주차가능 무료,"https://ldb-phinf.pstatic.net/20220622_42/1655881677554xLIJx_JPEG/DSC09460.jpg, https://ldb-phinf.pstatic.net/20240521_22/17162297041585cBkD_JPEG/1000000198.jpg",11:30,22:00,11:30,22:00,휴무,휴무,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,https://www.instagram.com/p/CbHE3pevLgb/,https://blog.naver.com/palmidonga2
열정돈 성산일출봉점,돼지고기구이,제주 서귀포시 성산읍 고성오조로 119 열정돈,0507-1330-1503,평점 없음,예약 \ 반려동물 동반 단체 이용 가능 무선 인터넷 출입구 휠체어 이용가능 좌석 휠체어 이용가능 장애인 주차구역,주차가능 무료 매장 무료주차장 사용가능,"https://ldb-phinf.pstatic.net/20220713_257/1657687175983VJklu_JPEG/KakaoTalk_20220518_122407825_02.jpg, https://ldb-phinf.pstatic.net/20241210_293/1733815700633mYoUg_JPEG/IMG_1667.jpeg",16:00,24:00,16:00,24:00,휴무,휴무,16:00,24:00,16:00,24:00,16:00,24:00,16:00,24:00,https://www.instagram.com/yeol__jeong_don/,
우미관,소고기구이,제주 서귀포시 성산읍 일주동로 4228 우미관,0507-1438-9278,평점 없음,단체 이용 가능 무선 인터넷 예약 남/녀 화장실 구분 유아의자 \ 반려동물 동반,주차가능 무료 가게앞,"https://ldb-phinf.pstatic.net/20250917_61/17581099439088aAIV_JPEG/1000003883.jpg, https://ldb-phinf.pstatic.net/20250917_254/1758109943837AaW4i_JPEG/1000003919.jpg",휴무,휴무,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,,
수마,"카페,디저트",제주 서귀포시 성산읍 일출로 264-6 수마카페,0507-1435-2902,평점 없음,무선 인터넷 남/녀 화장실 구분 포장,주차가능 무료,"https://ldb-phinf.pstatic.net/20221209_112/167053396845849lQb_JPEG/3AFD1AD7-B76F-4CBC-B6D0-4CBD02AF578E.jpeg, https://ldb-phinf.pstatic.net/20250405_252/1743801462287Igq2h_JPEG/1000076093.jpg",10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,https://www.instagram.com/jejusuma,
누구나홀딱반한닭 제주성산점,"치킨,닭강정",제주 서귀포시 성산읍 일주동로 4236,064-787-9933,평점 없음,단체 이용 가능 포장 예약,,"https://ldb-phinf.pstatic.net/20250313_75/1741831873922n5Oy4_JPEG/1.jpg, https://ldb-phinf.pstatic.net/20250313_43/1741831873762R53An_JPEG/2.jpg",16:00,22:50,16:00,22:50,휴무,휴무,16:00,22:50,16:00,22:50,16:00,22:50,16:00,22:50,https://www.instagram.com/nuguna_banhandak,https://blog.naver.com/nuguna_banhandak
자담치킨 제주성산점,"치킨,닭강정",제주 서귀포시 성산읍 고성오조로 88-2,064-782-9203,평점 없음,포장 배달 무선 인터넷,,"https://ldb-phinf.pstatic.net/20260302_190/1772450439739dWR4C_JPEG/00_%B5%BF%B9%B0%BA%B9%C1%F6_%C0%DA%B4%E3%C4%A1%C5%B2.jpg, https://ldb-phinf.pstatic.net/20260302_47/1772450563615CWFrd_JPEG/%C1%A6%C1%D6%BC%BA%BB%EA%C1%A11.jpg",13:00,다음 날 01:00,13:00,다음 날 01:00,13:00,다음 날 01:00,13:00,다음 날 01:00,13:00,다음 날 01:00,13:00,다음 날 01:00,13:00,다음 날 01:00,https://www.instagram.com/jadamchicken_official/,https://blog.naver.com/ejadam
세영수산,생선회,제주 서귀포시 성산읍 성산중앙로 10-1 1층,0507-1427-3166,4.42,단체 이용 가능 예약 포장 남/녀 화장실 구분,주차가능 무료 주차장 있어요.,"https://ldb-phinf.pstatic.net/20240913_102/17261914923353iloz_JPEG/1000001216.jpg, https://ldb-phinf.pstatic.net/20240411_111/1712811474138dWiAF_JPEG/20231204_121642.jpg",11:00,22:30,11:00,22:30,11:00,22:30,11:00,22:30,11:00,22:30,11:00,22:30,11:00,22:30,,
