Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
작산 애월흑돼지,돼지고기구이,제주 제주시 애월읍 가문동길 4 애월흑돼지 작산,0507-1381-9449,평점 없음,콜키지 가능 유료 생일 혜택 단체 이용 가능 무선 인터넷 예약 남/녀 화장실 구분 유아의자 대기공간,주차가능 무료 지하와 매장 앞에 전용주차장이 있습니다.,"https://ldb-phinf.pstatic.net/20240424_275/1713943292355Gpug0_JPEG/6666666666666666.jpg, https://ldb-phinf.pstatic.net/20231009_104/1696819680762M1voi_JPEG/%C0%DB%BB%EA04.jpg",11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,https://www.instagram.com/jaksan_jeju,
제주스시호타루,"초밥,롤",제주 제주시 애월읍 애월로1길 24-11 3층,0507-1362-2956,평점 없음,포장 남/녀 화장실 구분 예약 무선 인터넷 \ 반려동물 동반 배달 단체 이용 가능 유아의자,주차가능 무료,"https://naverbooking-phinf.pstatic.net/20251220_116/1766225461717AXW9c_JPEG/KakaoTalk_20251220_185600633.jpg, https://ldb-phinf.pstatic.net/20251216_192/1765871836423K6jDc_JPEG/KakaoTalk_20251216_143456886_07.jpg",11:00,20:30,11:00,20:30,11:00,20:30,11:00,20:30,11:00,20:30,11:00,20:30,휴무,휴무,https://www.instagram.com/jeju.sushi.hotaru,
해지개,"카페,디저트",제주 제주시 애월읍 애월북서길 52 . 1~2층,0507-1358-8586,평점 없음,로스터리 무선 인터넷 남/녀 화장실 구분 포장 단체 이용 가능 출입구 휠체어 이용가능,주차가능 무료 주차장 위치 : 해지개 건물 앞에 주차하시면 되고 공간이 없을 시 하이월드 제 2주차장(한담선진주차장 바로 옆)을 이용해주시길 바랍니다.,"https://ldb-phinf.pstatic.net/20250228_66/1740706322664m1vwp_JPEG/S__8634409_0-.jpg, https://ldb-phinf.pstatic.net/20240918_144/1726643206121TzIOF_JPEG/1.jpg",09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,https://www.instagram.com/haejigae_jeju/,https://blog.naver.com/q8o4snmk
미포집 제주 애월점,한식,제주 제주시 애월읍 가문동길 80 미포집 제주점,0507-1478-9778,평점 없음,생일 혜택 콜키지 가능 유료 단체 이용 가능 포장 남/녀 화장실 구분 무선 인터넷 대기공간 화장실 휠체어 이용가능 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료,"https://ldb-phinf.pstatic.net/20260409_119/1775683932244HFJ1J_JPEG/KakaoTalk_20260408_203814413_07.jpg, https://ldb-phinf.pstatic.net/20260227_160/1772177496562rTzt3_JPEG/%B9%CC%C6%F7%C1%FD%C1%A6%C1%D6%BE%D6%BF%F9%C1%A1_839.jpg",10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,https://www.instagram.com/mipojip/,
이춘옥원조고등어쌈밥 제주애월본점,쌈밥,제주 제주시 애월읍 일주서로 7213,0507-1402-9914,평점 없음,테이크아웃 할인 무한 리필 예약 단체 이용 가능 남/녀 화장실 구분 포장 무선 인터넷 유아의자 대기공간 \ 반려동물 동반 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료 발렛가능 무료 건물 앞 만차시 투썸 플레이스 건너편 제 2 주창장 제3주차장 이용가능 옆 건물 이춘옥 하우스 주차가능,"https://ldb-phinf.pstatic.net/20230819_179/1692426943455Q4sr1_JPEG/1000004293.jpg, https://ldb-phinf.pstatic.net/20230726_292/1690366003713VAwKQ_JPEG/1690365274038.jpg",09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,09:30,20:00,https://www.instagram.com/jeju_gossam,https://blog.naver.com/balck789/223739452547
애월은혜전복 제주애월본점,한식,제주 제주시 애월읍 애월로1길 24-3 1층,0507-1432-9060,4.47,예약 무선 인터넷 남/녀 화장실 구분,주차가능 무료 은혜전복 전용 주차장 이용 가능합니다.,"https://ldb-phinf.pstatic.net/20250814_161/1755154026841h1GMJ_PNG/%C1%A6%B8%F1%C0%BB-%C0%D4%B7%C2%C7%D8%C1%D6%BC%BC%BF%E4_-001_%281%29.png, https://ldb-phinf.pstatic.net/20230822_123/1692664102688F9pOh_JPEG/%BE%D6%BF%F9%B8%C0%C1%FD_772.jpg",09:40,20:00,09:40,20:00,09:40,20:00,09:40,20:00,09:40,20:00,09:40,20:00,09:40,20:00,,
브롱스 브루잉 컴퍼니 제주곽지해수욕장점,"맥주,호프",제주 제주시 애월읍 곽지3길 27-1 1층,0507-1449-1799,평점 없음,단체 이용 가능 남/녀 화장실 구분 포장 예약 유아의자 출입구 휠체어 이용가능 장애인 주차구역,"주차가능 무료 건물 뒤, 곽지리 재활용 도움센터: 도보 100m","https://ldb-phinf.pstatic.net/20260227_31/1772176630186YBS3O_JPEG/564.jpg, https://ldb-phinf.pstatic.net/20260405_60/177531954709653uUM_PNG/939.png",11:00,다음 날 02:00,휴무,휴무,11:00,다음 날 02:00,11:00,다음 날 02:00,11:00,다음 날 02:00,11:00,다음 날 02:00,11:00,다음 날 02:00,https://www.instagram.com/hollys_bronx,
단소 제주 애월본점,"백반,가정식",제주 제주시 애월읍 애월로 139-4 1층 단소,0507-1496-7178,4.62,생일 혜택 무한 리필 테이크아웃 할인 비건 메뉴 포장 남/녀 화장실 구분 예약 단체 이용 가능 유아의자 \ 반려동물 동반 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료 단소 앞마당에 무료 주차 가능합니다.골목 초입에 있는 빌라에는 주차 불가능하니 주차 공간이 없을 경우 앞마당에 중립 주차 부탁드립니다.,"https://naverbooking-phinf.pstatic.net/20241024_111/1729712548203qKJW8_JPEG/image.jpg, https://ldb-phinf.pstatic.net/20260419_282/1776593224806He4Cr_JPEG/1000240767.jpg",10:30,15:00,10:30,15:00,10:30,15:00,10:30,15:00,10:30,15:00,10:30,15:00,10:30,15:00,http://instagram.com/zipbap_danso,
제주광해 애월,한식,제주 제주시 애월읍 애월해안로 867 2층,0507-1312-4789,4.57,단체 이용 가능 남/녀 화장실 구분 무선 인터넷 예약 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료,"https://ldb-phinf.pstatic.net/20230602_235/1685694817825Y6k3D_JPEG/%B9%D9%B4%D9%BA%E4_%C7%D1%BB%F3.jpg, https://ldb-phinf.pstatic.net/20230417_37/1681689429554WywXt_PNG/997CB365-63D7-40AD-9477-33A1EE160362.png",10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,http://www.instagram.com/jejugwanghae,
문개어멍,한식,제주 제주시 애월읍 가문동길 38 문개어멍,0507-1368-4776,4.81,단체 이용 가능 남/녀 화장실 구분 무선 인터넷 포장 유아의자 대기공간,주차가능 무료 발렛가능 무료 매장 앞 주차 공간 넓습니다.,"https://ldb-phinf.pstatic.net/20260216_103/1771222495631EfPNO_PNG/KakaoTalk_20260216_151325657_01.png, https://ldb-phinf.pstatic.net/20260115_193/1768441696580ftCAw_PNG/%C1%A6%B8%F1%C0%BB_%C0%D4%B7%C2%C7%D8%C1%D6%BC%BC%BF%E4._%284%29.png",09:30,21:30,09:30,21:30,09:30,21:30,09:30,21:30,09:30,21:30,09:30,21:30,09:30,21:30,https://www.instagram.com/jeju_moongae,https://blog.naver.com/jeju_moongae
