Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
치타치킨,"치킨,닭강정",제주 제주시 신광로4길 7,0507-1426-4491,4.57,예약 단체 이용 가능 포장 배달 무선 인터넷,,https://ldb-phinf.pstatic.net/20230918_291/1695040410157q5yrk_JPEG/cheetah_CK.jpg,16:50,24:00,16:50,24:00,휴무,휴무,16:50,24:00,16:50,24:00,16:50,24:00,16:50,24:00,,
미송식탁,"찌개,전골",제주 제주시 삼무로11길 36,0507-1411-1028,평점 없음,예약 단체 이용 가능 포장 배달 무선 인터넷 유아의자,주차 불가 인근 주차장 이용 (도청 앞 주차장 / 가게 근처 클린하우스 공영주차장/매장 주변 도로 주차칸 주차),"https://ldb-phinf.pstatic.net/20231130_54/17013252197937jo51_JPEG/P20231011_161601974_1294CB40-48DF-4F39-B3C3-B9CF3B88B87B.JPG, https://ldb-phinf.pstatic.net/20250416_187/17447922379925Ibiu_JPEG/2025_04_07_18_56_IMG_4390.JPG",11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,휴무,휴무,11:00,22:00,,
빕스 제주점,패밀리레스토랑,제주 제주시 도령로 142 DJ타워 9층 빕스 제주점,064-746-1997,평점 없음,콜키지 가능 유료 무한 리필 예약 남/녀 화장실 구분 배달 무선 인터넷,"주차가능 무료 발렛가능 유료 2,000원","https://naverbooking-phinf.pstatic.net/20260323_170/1774262461660Hd0Au_PNG/image.png, https://naverbooking-phinf.pstatic.net/20260323_50/1774262461989XgeBn_PNG/image.png",10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,,
돈도칸 연동흑돼지,돼지고기구이,제주 제주시 신대로20길 56 1층 돈도칸 신대로 연동흑돼지,0507-1338-5392,평점 없음,콜키지 가능 유료 단체 이용 가능 무선 인터넷 예약 유아의자,"주차가능 무료 제주공항 근처 맛집 돈도칸 연동흑돼지는 제주시내 번화가에 위치해 있어서 이면도로에 주차가 가능하십니다. 주말, 공휴일 18:30분 이 후 부터는 가게 앞 주차가 가능합니다 내용 더보기","https://ldb-phinf.pstatic.net/20250625_229/1750811226604c2reS_JPEG/IMG_1030.jpeg, https://ldb-phinf.pstatic.net/20230828_169/1693182319982qIxNI_JPEG/IMG_1363.jpeg",12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,
공항뚝배기 제주공항본점,한식,제주 제주시 연삼로 31,0507-1309-1713,4.91,남/녀 화장실 구분 무선 인터넷,주차가능 무료 건물 뒷편 넓은 주차장이 마련되어있습니다.,"https://ldb-phinf.pstatic.net/20251205_155/1764864417990B8gM7_JPEG/1-3_%BA%B9%BB%E7.jpg, https://ldb-phinf.pstatic.net/20260403_160/1775148671967kuYM9_JPEG/%C0%FC%BA%B9%C7%D8%B9%B0%B6%D2%B9%E8%B1%E2_%C1%A6%C1%D6%B0%F8%C7%D7%C1%D6%BA%AF%B8%C0%C1%FD.jpeg",08:30,18:00,08:30,18:00,08:30,18:00,08:30,18:00,휴무,휴무,08:30,18:00,08:30,18:00,https://www.instagram.com/dduckbbaegi,https://blog.naver.com/dduckbaegi_
아라파파 연동점,베이커리,제주 제주시 국기로3길 2 1층 아라파파,0507-1491-8207,평점 없음,포장 예약 무선 인터넷,"주차 불가 아라파파 베이커리 카페 앞에 제주시에서 운영하는 공영 주차장이 있 으며, 30분 이내 주차시 요금은 무료이며, 평일 기준 오후 6시부터 는 익일 오전 9시까지 무료이며, 주말과 공휴일은 하루종일 무료로 운영되고 있습니다 2인 이상의 자녀가 있는 경우 다자녀 할... 내용 더보기","https://ldb-phinf.pstatic.net/20260120_83/1768877385641L5Bs0_PNG/%BB%A7%C1%F6%BC%F8%B7%CA_%C7%CA%BC%F6%C4%DA%BD%BA.png, https://ldb-phinf.pstatic.net/20250508_65/17466989939946h5DH_JPEG/20250508_132935.jpg",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,https://www.instagram.com/alapapa_jeju,
숙성도 제주본점,돼지고기구이,"제주 제주시 제원길 30 2, 3층",064-743-8877,평점 없음,단체 이용 가능,,"https://ldb-phinf.pstatic.net/20231114_85/1699923384050nYdOq_JPEG/_F6A0688.jpg, https://ldb-phinf.pstatic.net/20240813_219/1723534787516t2i5x_JPEG/KakaoTalk_20240813_160934558_02%BC%F6%C1%A4.JPG",11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,https://www.instagram.com/suksungdo__official,https://blog.naver.com/songmeat3555
제주곱,"곱창,막창,양",제주 제주시 신대로16길 42 1층,0507-1326-7592,4.53,예약 단체 이용 가능 포장 배달 무선 인터넷 남/녀 화장실 구분 유아의자 출입구 휠체어 이용가능,주차 불가 연동 신제주 공용주차장 이용 시 주차비 1000원 지원해 드리고 있습니다.,"https://ldb-phinf.pstatic.net/20240514_211/1715668158821iGzr6_JPEG/%B4%D9%BF%EE%B7%CE%B5%E5.jpg, https://ldb-phinf.pstatic.net/20250417_48/1744854988871Yl7iQ_JPEG/KakaoTalk_20250415_170103540.jpg",16:00,다음 날 02:00,16:00,다음 날 02:00,16:00,다음 날 02:00,16:00,다음 날 02:00,16:00,다음 날 02:00,16:00,다음 날 02:00,16:00,다음 날 02:00,https://www.instagram.com/jeju_gop,
신제주보말칼국수 제주본점,"칼국수,만두",제주 제주시 선덕로5길 19 신제주 보말칼국수,0507-1422-1547,4.57,무선 인터넷 유아의자,주차가능 무료,"https://ldb-phinf.pstatic.net/20240507_94/1715053369325Btez2_JPEG/IMG_1715.JPG, https://ldb-phinf.pstatic.net/20240507_99/1715053395932Avc5E_JPEG/IMG_1694.JPG",08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,휴무,휴무,https://www.instagram.com/shinjeju_bomal_kalguksu/,https://blog.naver.com/gusrmsdl3
돌담흑돼지 제주공항점,돼지고기구이,제주 제주시 연동7길 38 1층,0507-1378-4619,평점 없음,콜키지 가능 유료 단체 이용 가능 예약 남/녀 화장실 구분 유아의자 \ 반려동물 동반 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차 불가 차없는 거리인 누웨마루 거리에 위치해있어 주차시설이 없습니다. 오시기 전 가장 가까운 주차장인 '신제주 공영주차장'에 주차를 하고 방문해주세요,"https://ldb-phinf.pstatic.net/20240812_6/1723440547015lS6JQ_JPEG/%B5%B9%B4%E3%B0%F8%C7%D71.jpeg, https://ldb-phinf.pstatic.net/20240812_253/1723440548789Lc0W9_JPEG/%B5%B9%B4%E3%B0%F8%C7%D72.jpeg",11:00,다음 날 02:00,11:00,다음 날 02:00,11:00,다음 날 02:00,11:00,다음 날 02:00,11:00,다음 날 02:00,11:00,다음 날 02:00,11:00,다음 날 02:00,,
