Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
남경어곰탕 제주공항본점,한정식,제주 제주시 연삼로 96 1층,064-749-0055,평점 없음,콜키지 가능 유료 단체 이용 가능 예약 남/녀 화장실 구분 무선 인터넷 포장 유아의자 장애인 주차구역,주차가능 무료 매장 바로 앞 최대 42대까지 주차 가능합니다! 1시간 무료 주차 가능하며 매장 직원에게 차량번호 등록 후 출차해 주세요!,"https://ldb-phinf.pstatic.net/20241226_287/17351879844973B1u4_JPEG/241218_%C1%A6%C1%D6_%B3%B2%B0%E6%BE%EE%B0%F5%C5%C1_7.jpg, https://ldb-phinf.pstatic.net/20241226_84/1735188043460fit5X_JPEG/241218_%C1%A6%C1%D6_%B3%B2%B0%E6%BE%EE%B0%F5%C5%C1_14.jpg",08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,https://www.instagram.com/nkmr_jeju/,https://blog.naver.com/nkmrjeju
노티드 제주DT,카페,제주 제주시 연오로 5 1층,전화번호 없음,평점 없음,남/녀 화장실 구분 포장 단체 이용 가능 예약 무선 인터넷 유아의자 출입구 휠체어 이용가능 장애인 주차구역,주차가능 무료,"https://ldb-phinf.pstatic.net/20260410_8/17757994739495S586_JPEG/IMG_9162_%281%29.jpg, https://ldb-phinf.pstatic.net/20260331_289/1774921512411OSgja_JPEG/%B6%BC%BC%A6.jpg",09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,https://www.instagram.com/cafeknotted_kr,
유지커피웍스,카페,제주 제주시 오남로 297 유지커피웍스,064-901-3999,평점 없음,로스터리 핸드드립 단체 이용 가능 포장 무선 인터넷 남/녀 화장실 구분 노키즈존 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료 노키즈 NO KIDS (10세) / 노펫 NO PET / ZONE,"https://ldb-phinf.pstatic.net/20250228_219/1740739881772nmxAb_JPEG/%B3%EB%C5%B0%C1%EE_%B3%EB%C6%EA.jpg, https://ldb-phinf.pstatic.net/20250215_143/1739579160612g62OL_JPEG/20250210_144556%280%29.jpg",10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,10:30,20:00,10:30,20:00,https://www.instagram.com/reel/DJXtfGnzEsU/,
제주김만복김밥 본점,분식,제주 제주시 오라로 41,064-759-8582,평점 없음,남/녀 화장실 구분 포장 배달 단체 이용 가능,주차가능 무료,"https://ldb-phinf.pstatic.net/20250303_289/17409836759854qd95_JPEG/%C6%F7%BD%C3%C1%F0_%BA%BD_01.JPG, https://ldb-phinf.pstatic.net/20250303_250/1740983716196MMV87_JPEG/%C6%F7%BD%C3%C1%F0_%BA%BD_09.JPG",00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,https://www.instagram.com/jeju_kimmanbok,https://blog.naver.com/derkuss0706/223633137086
코지하우스 제주시점,양식,"제주 제주시 연북로 199 1, 2층",0507-1365-9397,평점 없음,콜키지 가능 유료,주차가능 무료,"https://ldb-phinf.pstatic.net/20251231_169/1767155264588P27JJ_JPEG/KakaoTalk_20251230_143031375.jpg, https://ldb-phinf.pstatic.net/20250723_30/1753238816786gKVUb_JPEG/%B4%EB%C1%F6_1_%BB%E7%BA%BB_10-100.jpg",11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,https://www.instagram.com/cozy_jeju_,
섬곳간,한식,제주 제주시 연북로 257 섬곳간,064-787-9292,평점 없음,콜키지 가능 유료 단체 이용 가능 무선 인터넷 남/녀 화장실 구분 대기공간 예약 유아의자 출입구 휠체어 이용가능 좌석 휠체어 이용가능 장애인 주차구역,주차가능 무료 주차 2시간 무료 지원이 가능합니다! 주차는 *소봉타워 건물 주차장 지원이 가능하니 혼선 없으시길 바랍니다. 감사합니다! 내용 더보기,"https://ldb-phinf.pstatic.net/20250527_198/17483353040535DvvV_JPEG/DSC02869.jpg, https://ldb-phinf.pstatic.net/20260220_96/177158687116522qXh_JPEG/KakaoTalk_20260220_201653834.jpg",휴무,휴무,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,https://www.instagram.com/sumgotgan,
스시호시카이,일식당,제주 제주시 오남로 90 1층,0507-1327-8838,평점 없음,콜키지 가능 유료 전문 소믈리에 와인 페어링 예약 남/녀 화장실 구분 대기공간 무선 인터넷 단체 이용 가능 유아의자,주차가능 무료 주차장은 매장오른편에 준비되어있습니다. (자리가 없을 경우 이중주차 후 캐셔데스케 차키를 맡겨주시면 도와드리겠습니다.),"https://ldb-phinf.pstatic.net/20230607_201/1686100540212iswr8_JPEG/%C8%A3%BD%C3%C4%AB%C0%CC_%B3%BB%BA%CE%BB%E7%C1%F84.jpg, https://ldb-phinf.pstatic.net/20230524_7/16848981169584H4VK_JPEG/%C8%A3%BD%C3%C4%AB%C0%CC_%B3%BB%BA%CE%BB%E7%C1%F8.jpg",12:00,21:00,10:00,20:00,12:00,21:00,12:00,21:00,10:00,20:00,12:00,21:00,12:00,21:00,https://www.instagram.com/sushi.hoshikai/,
꽃담초밥,"초밥,롤",제주 제주시 아연로 188 꽃담빌 1층 꽃담초밥,0507-1389-0437,평점 없음,콜키지 가능 유료 포장 예약 무선 인터넷 방문접수/출장 남/녀 화장실 구분 단체 이용 가능 유아의자 화장실 휠체어 이용가능 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료,"https://ldb-phinf.pstatic.net/20230711_92/1689051041292UxB9n_JPEG/KakaoTalk_20230710_103258780_02.jpg, https://ldb-phinf.pstatic.net/20260413_266/1776085273527CRpLN_PNG/5245.png",11:30,21:30,11:30,21:30,휴무,휴무,11:30,21:30,11:30,21:30,11:30,21:30,11:30,21:30,https://www.instagram.com/ayeonro188,
콜로세움,"카페,디저트",제주 제주시 민오름길 14 카페 콜로세움 제주,070-8211-0478,평점 없음,핸드드립 로스터리 콜키지 가능 유료 글루텐프리 메뉴 단체 이용 가능 무선 인터넷 남/녀 화장실 구분 포장 \ 반려동물 동반 유아의자 예약 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료 꿈바당도서관방면으로 들어오신후 도로가에 서 있는 나무를 끼고 좌회전 하시고 100미터 정도 민오름 등산로 방향으로 올라오시면 콜로세움제주 건물이 있습니다.,"https://naverbooking-phinf.pstatic.net/20240306_283/17096543224118LLqv_JPEG/KakaoTalk_20240304_000129986_02.jpg, https://ldb-phinf.pstatic.net/20260312_142/1773297647189J1dIA_JPEG/KakaoTalk_20260312_153815809.jpg",10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,http://instagram.com/cafe_colosseum,https://blog.naver.com/colosseum-jeju
오누이찐빵,찐빵,제주 제주시 공설로 27,064-748-0233,평점 없음,포장,,"https://ldb-phinf.pstatic.net/20200404_14/1585975005178JPOzB_JPEG/4IRSKJAg2qm_OJefbCe6WPiD.jpg, https://ldb-phinf.pstatic.net/20221031_280/1667177519866tmxjY_JPEG/1667177493526.jpg",09:00,15:00,휴무,휴무,09:00,15:00,09:00,15:00,09:00,15:00,휴무,휴무,휴무,휴무,,
제주기사정식뷔페,기사식당,제주 제주시 공설로 23,064-753-0024,4.27,,,https://ldb-phinf.pstatic.net/20200321_93/1584762849280opWAz_JPEG/GqWlsfchxIVjUnriSviv-Tmp.jpg,휴무,휴무,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,,
중종흑돼지,"육류,고기요리",제주 제주시 연오로 39 1층,0507-1494-8689,평점 없음,무선 인터넷 단체 이용 가능 남/녀 화장실 구분 유아의자 예약,주차가능 무료,"https://ldb-phinf.pstatic.net/20250802_174/1754120957306QSlTq_JPEG/IMG_2108.jpeg, https://ldb-phinf.pstatic.net/20250802_128/1754120957380qiU1p_JPEG/B9EDC585-83D9-4F02-9E15-DDFEB3DF235C.jpeg",11:00,22:30,15:00,22:30,11:00,22:30,휴무,휴무,15:00,22:30,15:00,22:30,15:00,22:30,http://instagram.com/jungjong.jeju,
먹쿠슬낭카페,"카페,디저트",제주 제주시 오라로 24 먹쿠슬낭카페,0507-1371-0360,4.73,무선 인터넷 포장 남/녀 화장실 구분 배달,주차가능 무료,"https://ldb-phinf.pstatic.net/20241002_120/17278347107302pMiC_JPEG/KakaoTalk_20240915bb.jpg, https://ldb-phinf.pstatic.net/20241002_25/1727834769758ILDKI_JPEG/20240921_124339_-_%BA%B9%BB%E7%BA%BB.jpg",11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,,https://blog.naver.com/tary923
일품순두부연북로점,한식,제주 제주시 연북로 212 1층,064-747-9139,평점 없음,,,https://ldb-phinf.pstatic.net/20250815_149/1755235702450XHD6R_JPEG/1000132426.jpg,00:00,24:00,00:00,21:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
에이바우트커피 종합경기장점,카페,제주 제주시 서사로 184 1층,064-901-8881,평점 없음,포장 무선 인터넷 남/녀 화장실 구분,,https://ldb-phinf.pstatic.net/20200429_18/1588135255505C5Hvs_JPEG/xellVM24PxhMyAfvWOwqluoX.jpeg.jpg,07:00,다음 날 01:00,07:00,다음 날 01:00,07:00,다음 날 01:00,07:00,다음 날 01:00,07:00,다음 날 01:00,07:00,다음 날 01:00,07:00,다음 날 01:00,,
메로왕,한식,제주 제주시 서광로4길 6,064-751-2004,4.2,단체 이용 가능 예약,,"https://ldb-phinf.pstatic.net/20200416_223/15869657877476FjTK_JPEG/ts_oDLHH6Vq0iHMNlUd0R69C.jpg, https://ldb-phinf.pstatic.net/20200612_125/1591889635709kTgA8_JPEG/rMfgpth-mMIFpGoB4yD4yLLh.jpeg.jpg",09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,휴무,휴무,,
덕인당보리빵 제주점,베이커리,제주 제주시 연삼로 180,064-756-6153,4.31,,,"https://phinf.pstatic.net/tvcast/20250507_155/6Ev3I_1746616662152P0emN_JPEG/EE619AA3-E5B1-424B-BC34-764E421FDB88.jpg, https://blogfiles.pstatic.net/MjAyNTA1MDdfNTEg/MDAxNzQ2NjE1MDcyMzM5.YRpqGnF9KJUNfdLX6VX7RrKpZ0pV_p-hIiEVzXpvQEAg.BU3akrOFE6uHQugOf2_dB9OSbp6WJGT-4jCjuCPOC9wg.JPEG/13.jpg/1203x1600",09:20,17:00,09:20,17:00,09:20,17:00,09:20,17:00,09:20,17:00,09:20,17:00,휴무,휴무,,
일품순두부연북로별관,한식,제주 제주시 연북로 221 2층,0507-1315-7272,평점 없음,포장 남/녀 화장실 구분 유아의자 대기공간 장애인 주차구역,주차가능 무료 안으로 쭉 들어오시면 2주차장 있습니다.,https://ldb-phinf.pstatic.net/20260106_86/17676716043711TVWq_JPEG/1000184620.jpg,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
오늘제주,베이커리,"제주 제주시 아연로 235-2 1층 오늘,제주",064-711-5756,평점 없음,포장 무선 인터넷 예약,주차가능 무료 건물뒷편에 전용 주차장이 마련되어 있습니다.,"https://ldb-phinf.pstatic.net/20260412_245/1775982569956NH6ta_JPEG/%BF%C0%B4%C3%C1%A6%C1%D6_%BF%F8%C7%FC%B7%CE%B0%ED.jpg, https://ldb-phinf.pstatic.net/20260412_44/1775982589106mSlcc_JPEG/019A6065.jpg",10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,https://www.instagram.com/_oneul_jeju,
투썸플레이스 제주오라점,카페,제주 제주시 연삼로 259,064-723-3030,평점 없음,남/녀 화장실 구분 배달 무선 인터넷 단체 이용 가능 포장 예약,주차가능,"https://pup-post-phinf.pstatic.net/MjAyNjA0MTZfMjM0/MDAxNzc2MzE0NDEzMDI5.8osZgjHzmL2bSyjuLyz5VpCovi1mj0ZDlSiS3ke6jdIg.IhjFwuAx0vVTmqeN--e9R8bj6dYuwLEgA_Z8U4kQ__Ug.JPEG/POST_IMAGE_ENCODING_20260416_134012_402.jpg, https://pup-review-phinf.pstatic.net/MjAyNTA3MTRfMjEg/MDAxNzUyNDU0NzQ0NTk1.hWIPAD25Fm2EhQFEHn_7xheoda_7-T3e5sZA3QnRlcUg.rMrUBx_G2AmdP5fIhiqJA9KvIf9yMo-4aVpIbN81Bgkg.JPEG/20250714_095005.jpg.jpg",08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,
