Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
홍열이네 인제점,불닭,제주 제주시 고마로17길 6 백암빌딩,064-722-8295,4.6,포장 단체 이용 가능 배달 예약 남/녀 화장실 구분 무선 인터넷 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차 불가,"https://ldb-phinf.pstatic.net/20251017_81/17606862449722nj04_GIF/%C8%AB%BF%AD%C0%CC%B3%D7_%BF%F2%C2%A92.gif, https://ldb-phinf.pstatic.net/20250930_49/1759198922548FJnm1_GIF/%C8%AB%BF%AD%C0%CC%B3%D7_%BF%F2%C2%A9.gif",휴무,휴무,17:00,다음 날 01:00,17:00,다음 날 01:00,17:00,다음 날 01:00,17:00,다음 날 01:00,17:00,다음 날 01:00,17:00,다음 날 01:00,,
부산돼지국밥,국밥,제주 제주시 신산로 29-1,0507-1494-0985,평점 없음,포장,,https://ldb-phinf.pstatic.net/20200316_188/1584325048048sPh7Q_JPEG/bRLAQ0VFSit-nLqyS7t-43BA.jpg,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,휴무,휴무,,
공차 제주일도점,차,제주 제주시 고마로 101,064-702-3156,평점 없음,,,https://ldb-phinf.pstatic.net/20200325_70/1585064767079xHTxk_JPEG/fEfXYFvbyAhGWpuyggdcCsFU.jpeg.jpg,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,10:00,24:00,,
꽃가마,한식,제주 제주시 신산로 97,064-755-6455,평점 없음,,,"https://ldb-phinf.pstatic.net/20150831_288/1440994449823mFb7k_JPEG/11885081_0.jpg, https://ldb-phinf.pstatic.net/20150831_120/1440994449997F6EN8_JPEG/11885081_1.jpg",07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,
해피파이어스,샌드위치,제주 제주시 신산로15길 47,064-758-5992,평점 없음,포장 무선 인터넷 예약 배달,,"https://ldb-phinf.pstatic.net/20250828_98/1756347472059OoKUW_JPEG/IMG_6212.jpeg, https://ldb-phinf.pstatic.net/20250828_143/1756347472176zvWHu_JPEG/IMG_6213.jpeg",10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,휴무,휴무,https://www.instagram.com/happypieus_,
창영왕족발,"족발,보쌈",제주 제주시 태성로3길 12 1층,0507-1494-7023,평점 없음,예약 단체 이용 가능 배달 포장,,"https://ldb-phinf.pstatic.net/20170817_33/1502960545105Iudvl_JPEG/NI2x1RGJdlRktpVwV8u7wOCJ.JPG.jpg, https://ldb-phinf.pstatic.net/20230914_26/1694678855292JnVcw_JPEG/KakaoTalk_Photo_2023-09-14-14-48-57_25_.jpg",휴무,휴무,11:00,23:30,11:00,23:30,11:00,23:30,11:00,23:30,11:00,23:30,11:00,23:30,,
제주태원갈비,"육류,고기요리",제주 제주시 고마로10길 6 태원갈비,064-757-7354,4.18,,,"https://pup-review-phinf.pstatic.net/MjAyMzEyMTFfMzUg/MDAxNzAyMjkyOTUzMTQ1.76fMQmmtsFh60np7qMnJ3ALeabcQUae0GUDu5ZsTXQMg.wAb38-UFwBTL3loQywkUzHUdfSUdykf6vO0TrigS0ygg.JPEG/20231211_192224.jpg.jpg?type=w1500_60_sharpen, http://blogfiles.naver.net/MjAyNTEyMTlfMTgx/MDAxNzY2MTE5NTU1MTI3.qUdd_ZKzphVkj7Hy0bC5bpeAPq2nGSQr_CtRWPBmLRYg.BanJK2pFue9gpa_AtUbNMcMAwNaacXCE0jB2tKlOUggg.JPEG/IMG%A3%DF8628.JPG",15:00,23:00,15:00,23:00,휴무,휴무,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,,https://blog.naver.com/to_ringo/221773725099
묵털리대구막창,"곱창,막창,양",제주 제주시 천수로 83,0507-1325-1607,평점 없음,,,"https://ldb-phinf.pstatic.net/20161116_137/14792824524798FBt3_JPEG/177064553462371_0.jpeg, https://ldb-phinf.pstatic.net/20200331_179/1585650476174T10qF_JPEG/8qY0Az_776mLwrsMRgYG0Y9q.jpg",16:30,24:00,16:30,24:00,16:30,24:00,16:30,24:00,16:30,24:00,16:30,24:00,휴무,휴무,,
고가촌,한식,제주 제주시 가령골길 24,064-723-6822,4.06,,,"https://video-phinf.pstatic.net/20250806_233/1754458895605ppttU_JPEG/FR5tJuUi5E_03.jpg, http://blogfiles.naver.net/MjAyNjAzMThfNTYg/MDAxNzczODE3MDMxODMz.-cFwFt-irKh-0NGdzyjLRGc1VrtAyyKanbW9HrwTI_4g.IVsLidYTlOL25L0UUyR2F3EsE64S_cndTOfME8qq0D8g.JPEG/output%A3%DF1392605462.jpg",10:00,22:00,휴무,휴무,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,,
수창닭갈비,닭갈비,제주 제주시 천수동로 19,064-713-6692,평점 없음,,,"https://pup-review-phinf.pstatic.net/MjAyNjAzMDJfMTk3/MDAxNzcyNDYxMTI2MDQy.vYc_gnY4F6t3zAI5e9H0Kv2-q1a_nlZrwqLvDi5v1KIg.iSb6xoIjfaH0LqTFaL-HVIfU2t0mD7LmbmqOvOwj7qwg.JPEG/E7212021-5CCC-444B-898D-B8905818FFB7.jpeg?type=w1500_60_sharpen, http://blogfiles.naver.net/MjAyNTAzMDlfODcg/MDAxNzQxNDg0NDgzMDAz.bb4qYMATaqHkYmPpsZWNCvjdzUA8J5hDl9OTCg3XaXcg.RgoBgA1P6z00EZdX0KMPW26FbTJzcDuukyGzvMnmNmog.JPEG/20250308%A3%DF183318.jpg",17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,,https://blog.naver.com/den8861/70179888758
막창먹는놈 놈놈놈막창 일도점,"곱창,막창,양",제주 제주시 고마로 151 고마로 151,064-723-8892,평점 없음,예약 포장,,"https://ldb-phinf.pstatic.net/20220914_269/1663129273574Ppr9u_JPEG/0522B50D-4F1E-4E74-9B57-697571FBFAB8.jpeg, https://ldb-phinf.pstatic.net/20220914_123/1663129285155q0Hd0_JPEG/1EDEB7ED-86D9-4A29-8D89-73696CA49087.jpeg",17:00,다음 날 00:30,17:00,다음 날 00:30,17:00,다음 날 00:30,17:00,다음 날 00:30,17:00,다음 날 00:30,17:00,다음 날 00:30,17:00,24:00,,
참치정육점제주지사,생선회,제주 제주시 연삼로 517,064-726-3700,평점 없음,포장 배달 예약 단체 이용 가능 남/녀 화장실 구분,주차가능,https://ldb-phinf.pstatic.net/20220122_147/1642846103401Pr06i_PNG/c318fffcf886c.png,휴무,휴무,10:00,22:30,10:00,22:30,10:00,22:30,10:00,22:30,10:00,22:30,10:00,22:30,,
