Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
명가일식,"초밥,롤",제주 제주시 만덕로6길 34 명가일식,0507-1429-4336,4.25,단체 이용 가능 포장 무선 인터넷 남/녀 화장실 구분 화장실 휠체어 이용가능 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료 만덕로6길34 가게앞,"https://ldb-phinf.pstatic.net/20260420_229/17766782290561WDm8_JPEG/20221018_174910.jpg, https://ldb-phinf.pstatic.net/20260420_44/1776678120317Mu7I2_JPEG/1944.jpg",10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,https://www.instagram.com/jeju_myung_ga,
루스트플레이스 칠성로점,패밀리레스토랑,제주 제주시 중앙로7길 3 명전빌딩2층,064-752-9008,평점 없음,예약 단체 이용 가능 무선 인터넷 남/녀 화장실 구분 포장 배달 유아의자,주차 불가,"https://pup-post-phinf.pstatic.net/MjAyNTEyMDlfNzQg/MDAxNzY1MjY2MTc4OTU2.bsAk7R9NfyzMnCzkLzKfS6qEiNMG6G78WD0awkEhjDIg.TqEaxkA5FjvNpg_fNtwmIQqv073MxWmgrEx3o_vMceUg.JPEG/POST_UPLOAD_THUMB_20251209_164258_482.jpg, https://pup-review-phinf.pstatic.net/MjAyNTA3MDZfNzQg/MDAxNzUxNzk0ODg3NDk1.fUCpcRWpsEr_0VC2DJmXpjfcszeGY3usLanlekGZgN0g.WhuLWO-yF3qzifwroFWT5nLtHcQG8Sw0xgDKLUsgGO0g.JPEG/20250706_180330.jpg.jpg",11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,,
돼지몰이촌,"육류,고기요리",제주 제주시 신산로2길 2,064-723-1250,평점 없음,,,"https://phinf.pstatic.net/tvcast/20250917_102/Srwd8_1758116255191HLDV6_JPEG/PublishThumb_20250917_223721_035.jpg, https://video-phinf.pstatic.net/20250822_118/1755840057120DHSDv_JPEG/j816uD8YBo_03.jpg",휴무,휴무,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,,https://blog.naver.com/pil1001/224001918109
황궁쟁반짜장,중식당,제주 제주시 관덕로13길 4,064-722-5161,평점 없음,,,http://blogfiles.naver.net/MjAyNTEwMjhfMTI4/MDAxNzYxNjM5MjE2MDE1.sfEPi3NOGHbZpLKFCx6CHzrWtjcxMoPX2Xa8Cty4Q90g.ZYmYX1tEilM7LgOicyrpzA4ftNJxk2KZL5WXzJp1Bkcg.PNG/image.png,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,,https://blog.naver.com/soccer2853/224056711975
안성식당,한식,제주 제주시 동문로4길 17-4,064-757-0681,평점 없음,,,"https://pup-review-phinf.pstatic.net/MjAyNDExMTVfMTg5/MDAxNzMxNjM5MTczMDk5.cNlCNjJUAUshVsUZeT93ZZ2swRAZXTAcKYTihb-4UhUg.qTGDCmWNPrRNcclLx8R1QNAvy45RM9j-37trO5zykC4g.JPEG/1000020844.jpg.jpg?type=w1500_60_sharpen, http://blogfiles.naver.net/MjAyNTA1MDZfMjIw/MDAxNzQ2NTE2NzY2MjM5.8HvHau71ZHFlJ6YUaokspREYZpwXpXf0lzIlwjNzWlYg.IyfMn13zD0fFDnA6QOPrvMKKLj0p-zHHcr4tz0lSD_Ig.JPEG/20250506%A3%DF133814.jpg",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,,https://blog.naver.com/jejupay/221769083625
조가네소머리국밥,해장국,제주 제주시 동문로4길 9,064-724-0966,평점 없음,,,"https://ldb-phinf.pstatic.net/20240529_70/1716940887633qSSnp_JPEG/ONC_9849_%BA%B9%BB%E7.jpg, https://ldb-phinf.pstatic.net/20240529_75/171694088784700x7N_JPEG/ONC_9708_%BA%B9%BB%E7.jpg",08:00,20:30,08:00,20:30,08:00,20:30,08:00,20:30,08:00,20:30,정보 없음,정보 없음,휴무,휴무,,
일팔팔,죽,제주 제주시 동문로 6-8,064-723-1288,평점 없음,,,https://ldb-phinf.pstatic.net/20200723_103/15954911069284PhpB_JPEG/YTvW_MlsYAybwdxqt-MKCSN9.jpg,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,08:00,19:30,,
신신닭발,닭발,제주 제주시 중앙로 44-2,064-751-0605,평점 없음,포장 배달,,"https://pup-post-phinf.pstatic.net/MjAyNjAzMjNfMjE2/MDAxNzc0MTk4ODAxNzgx.pxmCI5NjlWHqdnj-L3Yo9NvzJ1c3ehCzGqHotg61xkgg.poMubUB0L5_KnpJsUipL6anC_4sH7-wbkcyvXtaLTnkg.JPEG/A047DA4C-74B1-45E0-AC84-348F8EED9658.jpg, https://pup-review-phinf.pstatic.net/MjAyNDEyMjZfMTYz/MDAxNzM1MTg3NDYyNTMz._mSwo14KNUiSCptQF6qbqfVVHn0KLJMamVo4minCGtAg.8W4yeKBex5fP_AToE6CIVNypdhGs687FyNVLemL310Ag.JPEG/1000036245.jpg.jpg?type=w1500_60_sharpen",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,,
고향식당,한식,제주 제주시 관덕로9길 10 관덕로9길10호,0507-1322-0802,평점 없음,,,"https://ldb-phinf.pstatic.net/20200313_125/1584085652594gvv2v_JPEG/OWw5Niy0q625XibXcMfTA-HC.jpg, https://ldb-phinf.pstatic.net/20241114_112/1731573504603PkBHa_JPEG/1000012193.jpg",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,,
페리카나 제주동문점,"치킨,닭강정",제주 제주시 동문로 35-1,064-757-3522,평점 없음,포장 배달,,"https://ldb-phinf.pstatic.net/20220715_154/1657847168001Rg51j_JPEG/2022_%B9%DD%B9%DD%C4%A1%C5%B2_400_X_400.jpg, https://ldb-phinf.pstatic.net/20220715_97/1657847168037CHG2Y_JPEG/2022_%BB%E7%C0%CC%B5%E5_400_X_400.jpg",12:00,24:00,12:00,24:00,12:00,24:00,12:00,24:00,12:00,24:00,12:00,24:00,12:00,24:00,,
