Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
제주복진 흑돼지샤브 해물전골 함덕점,한식,제주 제주시 조천읍 조함해안로 538 2층,0507-1332-8187,평점 없음,단체 이용 가능 예약 유아의자 무선 인터넷,주차가능 무료 함덕해수욕장 공영주차장 제주시 조천읍 함덕리 1004-5 (무료) 2분 거리 위치,"https://ldb-phinf.pstatic.net/20250421_218/1745198713364l5G4W_JPEG/%BA%B9%C1%F8%C7%D4%B4%F6_293.jpg, https://ldb-phinf.pstatic.net/20250214_180/1739499314164O8FDG_JPEG/%C1%A6%C1%D6%BA%B9%C1%F8%C7%D4%B4%F6%C1%A1_35.jpg",09:00,21:00,휴무,휴무,09:00,21:00,09:00,21:00,09:30,21:00,09:00,21:30,09:00,21:00,https://www.instagram.com/jeju_bokjin,
무거버거,햄버거,제주 제주시 조천읍 조함해안로 356 무거버거,0507-1319-5076,4.43,포장 남/녀 화장실 구분 단체 이용 가능 \ 반려동물 동반 무선 인터넷,주차가능 무료 -매장 앞 넓은 전용 주차장 이용가능,"https://ldb-phinf.pstatic.net/20191207_272/1575713397611NTqX7_JPEG/UFEm7yRAzkTJYTPzYt9jbtRz.jpg, https://ldb-phinf.pstatic.net/20210422_166/1619055378781jWDGE_JPEG/FO6GWbWXvD22o-UguR325gp9.jpg",10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,http://www.instagram.com/mooger__burger,
계절식탁함덕점,한식,제주 제주시 조천읍 조함해안로 510 2층,0507-1432-6577,평점 없음,포장 남/녀 화장실 구분 무선 인터넷 유아의자,주차가능 무료,"https://ldb-phinf.pstatic.net/20240110_132/17048775957446aPNV_JPEG/KakaoTalk_20240110_093000792_03.jpg, https://ldb-phinf.pstatic.net/20250923_238/17585971730281cq57_GIF/%B0%E8%C0%FD%BD%C4%C5%B9_%C2%A9.gif",11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,,
세화갈비 함덕직영점,"육류,고기요리",제주 제주시 조천읍 함덕19길 7,064-782-0574,평점 없음,단체 이용 가능 포장 남/녀 화장실 구분 무선 인터넷 배달 유아의자,주차가능 무료 가게 앞 주차장 만차시 해수욕장 공영주차장 이용 부탁드립니다💖,"https://ldb-phinf.pstatic.net/20210712_202/1626096001219IPNKk_JPEG/KbRJQnxbWxpwVlFY_ifJrael.jpg, https://ldb-phinf.pstatic.net/20220522_24/1653208252421CRyAD_JPEG/%C2%F22.jpg",11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,https://www.instagram.com/jeju_sehwa_hd,
갈치옥 함덕,한식,제주 제주시 조천읍 조함해안로 530 2층 2호,전화번호 없음,4.49,단체 이용 가능 예약 남/녀 화장실 구분 무선 인터넷 \ 반려동물 동반 유아의자 대기공간 좌석 휠체어 이용가능 장애인 주차구역,주차가능 무료 가게 뒤편에 무료로 이용가능한 공영주차장이 있습니다.,"https://ldb-phinf.pstatic.net/20230509_209/1683613728080hjStS_JPEG/KakaoTalk_20230508_133446605.jpg, https://ldb-phinf.pstatic.net/20251017_13/1760670113727KpCya_GIF/%B0%A5%C4%A1%BF%C1.gif",10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,,
좀녀해녀촌,한식,제주 제주시 조천읍 함덕5길 36 1층,064-782-6769,평점 없음,단체 이용 가능 포장 예약 무선 인터넷 남/녀 화장실 구분 유아의자,주차가능 무료,"https://ldb-phinf.pstatic.net/20240621_37/1718929923929yy4Tk_JPEG/1000020949.jpg, https://ldb-phinf.pstatic.net/20240621_39/1718929924018BWo7e_JPEG/1000020950.jpg",07:00,20:30,07:00,20:30,07:00,20:30,07:00,20:30,07:00,20:30,07:00,20:30,07:00,20:30,,
오드랑베이커리 함덕점,베이커리,제주 제주시 조천읍 조함해안로 552-3,064-784-5404,평점 없음,무선 인터넷 출입구 휠체어 이용가능,주차가능 무료 오드랑베이커리 전용 주차장 이용가능,"https://ldb-phinf.pstatic.net/20240504_251/1714814863726B2XQ3_JPEG/IMG_1083.jpeg, https://ldb-phinf.pstatic.net/20231127_65/1701077899974al4zP_JPEG/KakaoTalk_20231127_183606304.jpg",07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,https://www.instagram.com/audrant_hd,
통일가든,한식,제주 제주시 조천읍 조와로 14,064-784-5944,평점 없음,,,"https://ldb-phinf.pstatic.net/20250512_52/1747033558548pUmMh_JPEG/1000011719.jpg, https://ldb-phinf.pstatic.net/20240412_274/1712900542418fR7LR_JPEG/1000005301.jpg",휴무,휴무,10:30,15:00,10:30,15:00,10:30,15:00,10:30,15:00,10:30,15:00,10:30,15:00,,
불차돌 해장국 함덕,해장국,제주 제주시 조천읍 조함해안로 496 2층 불차돌해장국 함덕,0507-1481-9300,평점 없음,무선 인터넷 포장 남/녀 화장실 구분 배달 단체 이용 가능 대기공간 유아의자 화장실 휠체어 이용가능 출입구 휠체어 이용가능,주차가능 무료 가게 앞 주차장 이용가능 10대 주차 가능 가게 주변 함덕해수요장 도로변 주차가능 대형버스 주차가능,"https://ldb-phinf.pstatic.net/20260219_159/1771468754840L9HcF_JPEG/222222.jpg, https://ldb-phinf.pstatic.net/20251106_111/1762355406186BL2U0_JPEG/DSC04590.jpg",06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,,
도톰 함덕점,생선회,제주 제주시 조천읍 신북로 409 B동 1층,0507-1352-2574,평점 없음,포장 배달 방문접수/출장 예약 남/녀 화장실 구분 무선 인터넷 단체 이용 가능 유아시설 (놀이방) \ 반려동물 동반,주차가능 무료,"https://ldb-phinf.pstatic.net/20260314_229/1773482049437nF6J8_JPEG/1000010146.jpg, https://ldb-phinf.pstatic.net/20260313_63/1773385220069L0tQ2_JPEG/1000010131.jpg",15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,https://www.instagram.com/dotoom918,https://blog.naver.com/yisujin310
제주흑돼지 함덕그때그집,돼지고기구이,제주 제주시 조천읍 조함해안로 486,064-782-9244,4.55,콜키지 가능 무료 무한 리필 단체 이용 가능 포장 무선 인터넷 남/녀 화장실 구분 예약 유아의자 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료,"https://ldb-phinf.pstatic.net/20240319_47/1710827504487oCxly_JPEG/1710827489704.jpg, https://ldb-phinf.pstatic.net/20201208_98/16073569217277o3Oa_JPEG/IVv_KNIma9UX6s5ZEjIFEBsp.jpg",11:00,22:00,11:00,22:00,휴무,휴무,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,,
