Name,Category,Address,Phone,Rating,Facilities,Parking,Images,Mon_Start,Mon_End,Tue_Start,Tue_End,Wed_Start,Wed_End,Thu_Start,Thu_End,Fri_Start,Fri_End,Sat_Start,Sat_End,Sun_Start,Sun_End,Instagram,Blog
온정조림 제주협재점,한식,제주 제주시 한림읍 한림로 328 1층,0507-1320-0376,평점 없음,\ 반려동물 동반 유아의자 무선 인터넷 단체 이용 가능 예약,주차가능 무료 식당앞,"https://ldb-phinf.pstatic.net/20260210_86/1770699291429ybWdh_PNG/%C1%A6%B8%F1%C0%BB-%C0%D4%B7%C2%C7%D8%C1%D6%BC%BC%BF%E4_-001_%281%29.png, https://ldb-phinf.pstatic.net/20251226_80/1766715281587GsiBe_JPEG/KakaoTalk_20251225_232723002_17.jpg",10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,,
쉼표,"카페,디저트",제주 제주시 한림읍 한림로 359,064-796-7790,4.38,무선 인터넷 남/녀 화장실 구분,,"https://ldb-phinf.pstatic.net/20250427_150/1745718975012k7TW6_JPEG/1000071225.jpg, https://ldb-phinf.pstatic.net/20240628_46/17195530294574QRmn_JPEG/SmartSelect_20240628_133915.jpg",09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,https://www.instagram.com/jejucomma,
돌갱이네집 제주협재리본점,한식,제주 제주시 한림읍 한림로 329-6,0507-1477-0076,평점 없음,무선 인터넷 포장 남/녀 화장실 구분 단체 이용 가능,주차가능 무료 가게 앞 협재해수욕장 공영주차장에 주차하시면 되며 주차비는 무료입니다.,"https://ldb-phinf.pstatic.net/20260319_2/1773930959501IWKrV_JPEG/KakaoTalk_20260319_231129814_01.jpg, https://ldb-phinf.pstatic.net/20250928_72/1759067659528qd62H_JPEG/IMG_8731_-_%BA%B9%BB%E7%BA%BB.JPG",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,https://blog.naver.com/jejudollgang
레코드 콘스트,"카페,디저트",제주 제주시 한림읍 한림로 336 3층,전화번호 없음,평점 없음,단체 이용 가능 예약 무선 인터넷 남/녀 화장실 구분 대기공간 포장 장애인 주차구역,주차가능 무료 콘스트 호텔 전용주차장 만차시 옆 공용주차장 (무료이용),"https://ldb-phinf.pstatic.net/20260221_250/1771603620578YVdxS_JPEG/1.jpg, https://ldb-phinf.pstatic.net/20260221_189/1771603620405onD78_JPEG/1-1.jpg",10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,https://www.instagram.com/record_konst,
수선화식당 협재 본점,양식,제주 제주시 한림읍 협재1길 24 수선화식당,0507-1483-5584,평점 없음,유아의자 포장 무선 인터넷 단체 이용 가능 \ 반려동물 동반,"주차 불가 주변시설인 동행게스트하우스 옆 공터, 강식당 옆 공영주차장에 주차 가능 하십니다. 단, 만차이실 경우 협재해녀의집 넓은공터에 주차 해주시길 권장드립니다.","https://ldb-phinf.pstatic.net/20250408_118/1744100770593v3Hbt_JPEG/IMG_3363.jpeg, https://ldb-phinf.pstatic.net/20250330_240/1743294933830LqHav_JPEG/IMG_3269.jpeg",11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,,
고기부엌협재본점,돼지고기구이,제주 제주시 한림읍 협재1길 1 1층 협재고기부엌,0507-1324-6305,평점 없음,콜키지 가능 유료 무선 인터넷 예약 \ 반려동물 동반 남/녀 화장실 구분 단체 이용 가능 유아의자,주차가능 무료 주차장 주소 제주시 한림읍 협재1길1,"https://ldb-phinf.pstatic.net/20241209_78/1733735768753MqkRz_JPEG/IMG_2059.jpeg, https://ldb-phinf.pstatic.net/20240322_135/1711088474923yXOYE_JPEG/DSC06482.jpg",12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,https://www.instagram.com/gogi.bueok,
협재흑돼지 바당돈,"육류,고기요리",제주 제주시 한림읍 한림로 347 1층,0507-1349-6305,평점 없음,콜키지 가능 무료 단체 이용 가능 포장 예약 남/녀 화장실 구분 무선 인터넷 유아의자 대기공간 \ 반려동물 동반 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료,"https://naverbooking-phinf.pstatic.net/20260123_175/1769134904622KueMl_JPEG/image.jpg, https://naverbooking-phinf.pstatic.net/20260123_5/1769134906604bT2Vt_JPEG/image.jpg",12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,,
안녕협재씨 제주점,한식,제주 제주시 한림읍 협재1길 30 1층 안녕협재씨,0507-1347-0624,4.54,비건 메뉴 무선 인터넷 남/녀 화장실 구분 단체 이용 가능 유아의자 대기공간 예약 \ 반려동물 동반 출입구 휠체어 이용가능 좌석 휠체어 이용가능,주차가능 무료 1. 안녕협재씨 가게 바로 옆 무료 공영 주차장이 있습니다. 2. 협재포구 (협재1길 33-2)에 주차하시고 오시면 편리합니다.,"https://ldb-phinf.pstatic.net/20250313_287/1741840692938TE4un_JPEG/KakaoTalk_20250313_130421630_08.jpg, https://ldb-phinf.pstatic.net/20251218_148/1766069912277u1VC8_JPEG/1000093889.jpg",09:00,16:30,09:00,16:30,09:00,16:30,09:00,16:30,09:00,16:30,09:00,16:30,09:00,16:30,https://www.instagram.com/hihyeopjae,
도민상회본점 제주한림협재흑돼지,돼지고기구이,제주 제주시 한림읍 한림로3길 8,0507-1334-0795,평점 없음,콜키지 가능 유료 단체 이용 가능 예약 무선 인터넷 \ 반려동물 동반 남/녀 화장실 구분 대기공간 유아의자 포장 장애인 주차구역,주차가능 무료 매장 맞은편 무료 공영주차장이 있습니다.,"https://ldb-phinf.pstatic.net/20250912_283/1757668224995uOJwG_GIF/IMG_7057.gif, https://ldb-phinf.pstatic.net/20250403_30/1743651789877NP3W6_JPEG/KakaoTalk_20250403_124104366.jpg",11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,,
돈해상 제주한림협재흑돼지,돼지고기구이,제주 제주시 한림읍 귀덕11길 39 1층,0507-1389-4936,평점 없음,콜키지 가능 무료 단체 이용 가능 예약 무선 인터넷 포장 유아시설 (놀이방) 남/녀 화장실 구분 유아의자 장애인 주차구역,주차가능 무료,"https://ldb-phinf.pstatic.net/20210817_136/1629161154921MB7Qk_JPEG/cvM8hyNsQA6qKaV-8LsZDFVu.jpg, https://ldb-phinf.pstatic.net/20250415_175/1744703618256hDo55_JPEG/%B5%B7%C7%D8%BB%F3_%B8%DE%C0%CE%BB%E7%C1%F82.JPG",11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,https://www.instagram.com/donhaesang,
